"plateRow","plateColumn"
5,13
3,1
10,1
13,18
8,3
11,22
13,22
12,16
2,12
3,11
7,10
15,10
6,11
13,12
1,10
16,19
9,7
9,1
2,4
7,14
11,10
13,9
4,9
3,15
4,2
7,4
13,7
15,11
6,4
8,2
3,21
6,15
9,4
12,15
9,12
6,14
11,17
15,9
5,3
1,5
10,19
9,2
4,22
16,20
4,5
12,14
9,15
16,18
4,18
15,4
7,15
7,8
15,12
1,8
3,2
16,10
13,5
4,11
14,11
10,13
11,24
7,22
11,18
5,6
13,16
9,14
2,17
8,18
3,12
6,5
10,4
9,23
15,13
15,19
11,13
10,5
8,11
9,5
4,17
6,13
5,16
7,12
3,24
10,8
13,19
2,3
11,3
7,5
10,22
15,16
2,20
13,6
9,22
5,18
6,2
14,1
16,4
12,4
2,6
14,23
12,7
14,4
14,9
14,17
6,24
3,19
6,12
5,4
3,6
3,17
2,18
13,23
13,10
2,15
3,16
14,15
12,11
12,8
7,19
15,18
1,19
8,15
7,21
7,20
10,6
10,2
4,19
5,24
14,16
1,3
6,9
13,8
9,20
5,12
2,9
13,24
16,15
14,8
12,3
12,19
3,10
7,2
1,13
11,7
14,18
2,11
11,2
9,21
6,17
8,12
5,1
13,1
12,9
4,10
9,17
9,11
5,21
10,3
13,17
11,12
7,1
11,8
8,9
2,16
11,20
4,23
12,17
12,24
3,9
2,5
7,17
2,22
14,12
8,14
7,24
4,13
15,22
8,16
16,12
4,24
3,14
14,20
12,2
4,20
6,22
1,18
16,14
9,3
8,19
1,11
3,7
14,6
15,5
12,6
16,11
5,7
9,8
7,16
7,11
8,10
6,20
11,9
12,18
1,6
5,23
1,16
8,24
16,8
6,16
9,6
14,21
16,7
2,8
1,14
8,22
14,19
5,8
5,22
10,12
11,4
1,22
6,23
6,7
1,21
1,9
10,24
16,22
2,10
5,15
14,5
14,10
4,8
16,9
4,14
2,13
7,23
12,22
11,1
8,7
16,21
10,21
5,17
9,24
14,2
4,15
1,20
12,10
14,13
5,14
11,5
8,6
15,6
8,20
11,23
7,3
3,5
7,6
7,13
13,3
5,9
4,1
8,1
8,4
9,13
3,8
11,15
5,10
14,7
8,21
10,16
13,20
2,7
12,1
1,17
3,18
4,7
16,13
1,7
2,21
10,14
15,14
15,8
1,12
3,4
10,9
6,8
13,15
9,18
15,7
15,3
3,20
13,11
15,17
8,23
9,19
4,16
16,6
5,19
10,17
10,11
15,20
14,24
9,10
6,21
16,3
6,3
16,17
10,23
3,23
6,18
2,19
11,16
16,5
10,20
12,21
5,2
8,5
12,23
13,2
13,14
1,1
1,2
1,4
1,15
1,23
1,24
2,1
2,2
2,14
2,23
2,24
3,3
3,13
3,22
4,3
4,4
4,6
4,12
4,21
5,5
5,11
5,20
6,1
6,6
6,10
6,19
7,7
7,9
7,18
8,8
8,13
8,17
9,9
9,16
10,7
10,10
10,15
10,18
11,6
11,11
11,14
11,19
11,21
12,5
12,12
12,13
12,20
13,4
13,13
13,21
14,3
14,14
14,22
15,1
15,2
15,15
15,21
15,23
15,24
16,1
16,2
16,16
16,23
16,24
